key_city,key_state,n_rows,suggested,geoid,geo_level,city_dist
lower allen township,pennsylvania,2,Lower Allen CDP,4244824,place,0.09000000000000007
lytle,california,2,Lytle Creek CDP,0644644,place,0.10909090909090911
melrose,illinois,2,Melrose Park village,1748242,place,0.08333333333333333
meza,arizona,2,Mesa city,0446000,place,0.13333333333333336
miaimi,florida,2,Miami city,1245000,place,0.0855555555555555
mimamar,florida,2,Miramar city,1245975,place,0.12063492063492072
mira mesa,california,2,Mira Monte CDP,0648046,place,0.10444444444444446
mirmarrr,florida,2,Miramar city,1245975,place,0.13055555555555554
mountain home,texas,2,Mountain City city,4849600,place,0.1230769230769231
n charleston sc,south carolina,2,Charleston city,4513330,place,0.11111111111111122
n prince george,virginia,2,Prince George CDP,5164560,place,0.1341880341880342
new boston,michigan,2,New Lothrop village,2657520,place,0.13272727272727275
new castroville,texas,2,Castroville city,4813312,place,0.08888888888888892
north carolina,north carolina,2,North Clinton township,3716392308,cousub,0.10999000999000999
north chatham,new york,2,North Castle town,3611951693,cousub,0.11153846153846152
north cheasterfield,virginia,2,Northwestern district,5118594927,cousub,0.1280701754385965
north scituate,rhode island,2,North Smithfield town,4400752480,cousub,0.13214285714285715
nuhunta,georgia,2,Nahunta city,1354124,place,0.13571428571428581
orchard lake,michigan,2,Orchard Lake Village city,2661020,place,0.08000000000000002
owings court,maryland,2,Owings CDP,2459375,place,0.10000000000000002
palmer,massachusetts,2,Palmer Town city,2552144,place,0.09090909090909094
pamona,california,2,Armona CDP,0602700,place,0.11111111111111106
peckville,pennsylvania,2,Pennville CDP,4259296,place,0.11851851851851859
pecos,tennessee,2,Petros CDP,4757780,place,0.14222222222222222
phila,pennsylvania,2,Philadelphia city,4260000,place,0.11666666666666663
pho,arizona,2,Phoenix city,0455000,place,0.1333333333333333
pipersville,pennsylvania,2,Minersville borough,4250088,place,0.12121212121212116
potonoc,mississippi,2,Pontotoc city,2859160,place,0.09047619047619056
quil ceda village,washington,2,Qui-nai-elt Village CDP,5357030,place,0.14424664602683182
rdinburg,texas,2,Edinburg city,4822660,place,0.08333333333333338
redwood,california,2,Redwood City city,0660102,place,0.08333333333333333
ridgedale,missouri,2,Ridge township,2903361832,cousub,0.08888888888888895
ross township,ohio,2,Ross CDP,3968602,place,0.13846153846153852
rotonda west,florida,2,Rotonda CDP,1261937,place,0.08333333333333333
rucksville,virginia,2,Ruckersville CDP,5169360,place,0.08333333333333333
sam bernardino,california,2,San Marino city,0668224,place,0.12952380952380957
san diego diego,california,2,San Diego city,0666000,place,0.08000000000000002
san felipe,new mexico,2,San Felipe Pueblo CDP,3567450,place,0.08235294117647059
san magnolia,texas,2,San Angelo city,4864472,place,0.1144444444444445
san perdro,california,2,San Ardo CDP,0664476,place,0.08499999999999999
san ysirdo,california,2,San Ardo CDP,0664476,place,0.08499999999999999
sanata ana,california,2,Santa Ana city,0669000,place,0.1011111111111112
say st. louis,mississippi,2,Bay St. Louis city,2803980,place,0.1068376068376068
scarborough,massachusetts,2,Marlborough city,2538715,place,0.12121212121212116
scott,pennsylvania,2,Scottdale borough,4268432,place,0.08888888888888895
soldedad,california,2,Soledad city,0672520,place,0.09583333333333334
south crockett,texas,2,South Fork Estates CDP,4868966,place,0.11190476190476197
south louis,missouri,2,South Linn township,2904368948,cousub,0.09454545454545456
southhampton,pennsylvania,2,Southmont borough,4272344,place,0.08333333333333333
spring garden township,pennsylvania,2,Spring Garden township,4213373168,cousub,0.08181818181818186
st. louis,illinois,2,St. Elmo city,1766794,place,0.11666666666666671
sun city,florida,2,Sun City Center CDP,1269250,place,0.09333333333333338
sunland,california,2,Summerland CDP,0675714,place,0.14476190476190476
svannah,georgia,2,Savannah city,1369000,place,0.12321428571428572
tamapa,florida,2,Tampa city,1271000,place,0.0855555555555555
taylor,utah,2,Taylorsville city,4975360,place,0.10000000000000002
toole,utah,2,Tooele city,4976680,place,0.0855555555555555
torrance,pennsylvania,2,Dorrance township,4207919616,cousub,0.08333333333333338
unionville,connecticut,2,Union town,0901377830,cousub,0.10000000000000002
warwick,iowa,2,Hartwick city,1934770,place,0.130952380952381
waterford township,michigan,2,Waterford charter township,2612584240,cousub,0.10000000000000002
watford,north dakota,2,Watford City city,3883860,place,0.08333333333333333
weatherftherford,oklahoma,2,Weatherford city,4079450,place,0.08068181818181819
west collingswood,new jersey,2,West Wildwood borough,3480210,place,0.12863019333607567
westchester,california,2,Westminster city,0684550,place,0.1465909090909091
